행정구역명,TP_BUZ_NO,업소수
경기도 의정부시,8001,2533
경기도 의정부시,8004,192
경기도 의정부시,8005,224
경기도 의정부시,8006,1153
경기도 의정부시,8021,687
경기도 의정부시,8301,365
경기도 이천시,4010,374
경기도 이천시,4020,259
경기도 이천시,8001,1735
경기도 이천시,8004,103
경기도 이천시,8005,184
경기도 이천시,8006,707
경기도 이천시,8021,465
경기도 이천시,8301,188
경기도 파주시,4010,572
경기도 파주시,4020,539
경기도 파주시,8001,3068
경기도 파주시,8004,199
경기도 파주시,8005,277
경기도 파주시,8006,1575
경기도 파주시,8021,771
경기도 파주시,8301,366
경기도 포천시,4010,298
경기도 포천시,4020,391
경기도 포천시,8001,1794
경기도 포천시,8004,39
경기도 포천시,8005,141
경기도 포천시,8006,583
경기도 포천시,8021,276
경기도 포천시,8301,120
경기도 하남시,4010,296
경기도 하남시,4020,304
경기도 하남시,8001,1493
경기도 하남시,8004,163
경기도 하남시,8005,120
경기도 하남시,8006,862
경기도 하남시,8021,369
경기도 하남시,8301,226
경기도 화성시 동탄구,4010,337
경기도 화성시 동탄구,4020,226
경기도 화성시 동탄구,8001,1708
경기도 화성시 동탄구,8004,277
경기도 화성시 동탄구,8005,186
경기도 화성시 동탄구,8006,1262
경기도 화성시 동탄구,8021,508
경기도 화성시 동탄구,8301,318
경기도 화성시 만세구,4010,534
경기도 화성시 만세구,4020,435
경기도 화성시 만세구,8001,2177
경기도 화성시 만세구,8004,85
경기도 화성시 만세구,8005,203
경기도 화성시 만세구,8006,797
경기도 화성시 만세구,8021,450
경기도 화성시 만세구,8301,157
경기도 화성시 병점구,4010,149
경기도 화성시 병점구,4020,129
경기도 화성시 병점구,8001,693
경기도 화성시 병점구,8004,49
경기도 화성시 병점구,8005,67
경기도 화성시 병점구,8006,308
경기도 화성시 병점구,8021,203
경기도 화성시 병점구,8301,77
경기도 화성시 효행구,4010,207
경기도 화성시 효행구,4020,162
경기도 화성시 효행구,8001,753
경기도 화성시 효행구,8004,46
경기도 화성시 효행구,8005,77
경기도 화성시 효행구,8006,340
경기도 화성시 효행구,8021,202
경기도 화성시 효행구,8301,95
경상남도 거제시,4010,303
경상남도 거제시,4020,348
경상남도 거제시,8001,2456
경상남도 거제시,8004,83
경상남도 거제시,8005,158
경상남도 거제시,8006,773
경상남도 거제시,8021,505
경상남도 거제시,8301,214
경상남도 거창군,4010,57
경상남도 거창군,4020,111
경상남도 거창군,8001,637
경상남도 거창군,8004,16
경상남도 거창군,8005,58
경상남도 거창군,8006,199
경상남도 거창군,8021,140
경상남도 거창군,8301,81
경상남도 고성군,4010,49
경상남도 고성군,4020,86
경상남도 고성군,8001,576
경상남도 고성군,8004,7
경상남도 고성군,8005,40
경상남도 고성군,8006,171
경상남도 고성군,8021,96
경상남도 고성군,8301,35
경상남도 김해시,4010,574
경상남도 김해시,4020,677
경상남도 김해시,8001,4170
경상남도 김해시,8004,199
경상남도 김해시,8005,306
경상남도 김해시,8006,1672
경상남도 김해시,8021,931
경상남도 김해시,8301,414
경상남도 남해군,4010,65
경상남도 남해군,4020,123
경상남도 남해군,8001,559
경상남도 남해군,8004,11
경상남도 남해군,8005,35
경상남도 남해군,8006,250
경상남도 남해군,8021,84
경상남도 남해군,8301,55
경상남도 밀양시,4010,105
경상남도 밀양시,4020,185
경상남도 밀양시,8001,1154
경상남도 밀양시,8004,16
경상남도 밀양시,8005,85
경상남도 밀양시,8006,432
경상남도 밀양시,8021,184
경상남도 밀양시,8301,94
경상남도 사천시,4010,126
경상남도 사천시,4020,190
경상남도 사천시,8001,1295
경상남도 사천시,8004,34
경상남도 사천시,8005,80
경상남도 사천시,8006,396
경상남도 사천시,8021,201
경상남도 사천시,8301,100
경상남도 산청군,4010,20
경상남도 산청군,4020,89
경상남도 산청군,8001,394
경상남도 산청군,8004,2
경상남도 산청군,8005,26
경상남도 산청군,8006,158
경상남도 산청군,8021,64
경상남도 산청군,8301,41
경상남도 양산시,4010,349
경상남도 양산시,4020,431
경상남도 양산시,8001,2692
경상남도 양산시,8004,137
경상남도 양산시,8005,210
경상남도 양산시,8006,1162
경상남도 양산시,8021,634
경상남도 양산시,8301,303
경상남도 의령군,4010,13
경상남도 의령군,4020,45
경상남도 의령군,8001,250
경상남도 의령군,8004,7
경상남도 의령군,8005,18
경상남도 의령군,8006,95
경상남도 의령군,8021,35
경상남도 의령군,8301,25
경상남도 진주시,4010,335
경상남도 진주시,4020,542
경상남도 진주시,8001,2976
경상남도 진주시,8004,177
경상남도 진주시,8005,228
경상남도 진주시,8006,1338
경상남도 진주시,8021,684
경상남도 진주시,8301,360
경상남도 창녕군,4010,59
경상남도 창녕군,4020,108
경상남도 창녕군,8001,670
경상남도 창녕군,8004,10
경상남도 창녕군,8005,55
경상남도 창녕군,8006,263
경상남도 창녕군,8021,136
경상남도 창녕군,8301,53
경상남도 창원시 마산합포구,4010,159
경상남도 창원시 마산합포구,4020,237
경상남도 창원시 마산합포구,8001,1803
경상남도 창원시 마산합포구,8004,71
경상남도 창원시 마산합포구,8005,108
경상남도 창원시 마산합포구,8006,620
경상남도 창원시 마산합포구,8021,375
경상남도 창원시 마산합포구,8301,159
경상남도 창원시 마산회원구,4010,151
경상남도 창원시 마산회원구,4020,203
경상남도 창원시 마산회원구,8001,1279
경상남도 창원시 마산회원구,8004,51
경상남도 창원시 마산회원구,8005,98
경상남도 창원시 마산회원구,8006,477
경상남도 창원시 마산회원구,8021,315
경상남도 창원시 마산회원구,8301,138
경상남도 창원시 성산구,4010,245
경상남도 창원시 성산구,4020,238
경상남도 창원시 성산구,8001,1836
경상남도 창원시 성산구,8004,158
경상남도 창원시 성산구,8005,135
경상남도 창원시 성산구,8006,904
경상남도 창원시 성산구,8021,418
경상남도 창원시 성산구,8301,199
경상남도 창원시 의창구,4010,199
경상남도 창원시 의창구,4020,241
경상남도 창원시 의창구,8001,1657
경상남도 창원시 의창구,8004,81
경상남도 창원시 의창구,8005,116
경상남도 창원시 의창구,8006,656
경상남도 창원시 의창구,8021,360
경상남도 창원시 의창구,8301,216
경상남도 창원시 진해구,4010,196
경상남도 창원시 진해구,4020,202
경상남도 창원시 진해구,8001,1638
경상남도 창원시 진해구,8004,73
경상남도 창원시 진해구,8005,114
경상남도 창원시 진해구,8006,633
경상남도 창원시 진해구,8021,341
경상남도 창원시 진해구,8301,166
경상남도 통영시,4010,143
경상남도 통영시,4020,229
경상남도 통영시,8001,1314
경상남도 통영시,8004,46
경상남도 통영시,8005,77
경상남도 통영시,8006,462
경상남도 통영시,8021,295
경상남도 통영시,8301,145
경상남도 하동군,4010,37
경상남도 하동군,4020,114
경상남도 하동군,8001,567
경상남도 하동군,8004,9
경상남도 하동군,8005,30
경상남도 하동군,8006,192
경상남도 하동군,8021,88
경상남도 하동군,8301,67
경상남도 함안군,4010,65
경상남도 함안군,4020,119
경상남도 함안군,8001,608
경상남도 함안군,8004,6
경상남도 함안군,8005,49
경상남도 함안군,8006,173
경상남도 함안군,8021,119
경상남도 함안군,8301,49
경상남도 함양군,4010,29
경상남도 함양군,4020,85
경상남도 함양군,8001,440
경상남도 함양군,8004,4
경상남도 함양군,8005,36
경상남도 함양군,8006,118
경상남도 함양군,8021,83
경상남도 함양군,8301,37
경상남도 합천군,4010,26
경상남도 합천군,4020,96
경상남도 합천군,8001,411
경상남도 합천군,8004,6
경상남도 합천군,8005,31
경상남도 합천군,8006,125
경상남도 합천군,8021,80
경상남도 합천군,8301,43
경상북도 경주시,4010,358
경상북도 경주시,4020,589
경상북도 경주시,8001,3124
경상북도 경주시,8004,113
경상북도 경주시,8005,211
경상북도 경주시,8006,1370
경상북도 경주시,8021,604
경상북도 경주시,8301,363
경상북도 고령군,4010,36
경상북도 고령군,4020,78
경상북도 고령군,8001,324
경상북도 고령군,8004,3
경상북도 고령군,8005,25
경상북도 고령군,8006,96
경상북도 고령군,8021,54
경상북도 고령군,8301,27
경상북도 구미시,4010,475
경상북도 구미시,4020,499
경상북도 구미시,8001,3422
경상북도 구미시,8004,163
경상북도 구미시,8005,242
경상북도 구미시,8006,1274
경상북도 구미시,8021,795
경상북도 구미시,8301,404
경상북도 김천시,4010,140
경상북도 김천시,4020,248
경상북도 김천시,8001,1182
경상북도 김천시,8004,41
경상북도 김천시,8005,119
경상북도 김천시,8006,397
경상북도 김천시,8021,262
경상북도 김천시,8301,146
경상북도 문경시,4010,70
경상북도 문경시,4020,180
경상북도 문경시,8001,842
경상북도 문경시,8004,17
경상북도 문경시,8005,76
경상북도 문경시,8006,264
경상북도 문경시,8021,133
경상북도 문경시,8301,71
경상북도 봉화군,4010,10
경상북도 봉화군,4020,67
경상북도 봉화군,8001,319
경상북도 봉화군,8004,1
경상북도 봉화군,8005,23
경상북도 봉화군,8006,106
경상북도 봉화군,8021,53
경상북도 봉화군,8301,21
경상북도 상주시,4010,74
경상북도 상주시,4020,179
경상북도 상주시,8001,890
경상북도 상주시,8004,13
경상북도 상주시,8005,74
경상북도 상주시,8006,336
경상북도 상주시,8021,157
경상북도 상주시,8301,88
경상북도 성주군,4010,43
경상북도 성주군,4020,114
경상북도 성주군,8001,464
경상북도 성주군,8004,4
경상북도 성주군,8005,44
경상북도 성주군,8006,214
경상북도 성주군,8021,80
경상북도 성주군,8301,41
경상북도 안동시,4010,146
경상북도 안동시,4020,270
경상북도 안동시,8001,1525
경상북도 안동시,8004,64
경상북도 안동시,8005,136
경상북도 안동시,8006,613
경상북도 안동시,8021,276
경상북도 안동시,8301,175
경상북도 영덕군,4010,43
경상북도 영덕군,4020,119
경상북도 영덕군,8001,617
경상북도 영덕군,8004,4
경상북도 영덕군,8005,37
경상북도 영덕군,8006,178
경상북도 영덕군,8021,78
경상북도 영덕군,8301,37
경상북도 영양군,4010,8
경상북도 영양군,4020,33
경상북도 영양군,8001,142
경상북도 영양군,8004,7
경상북도 영양군,8005,13
경상북도 영양군,8006,53
경상북도 영양군,8021,22
경상북도 영양군,8301,10
경상북도 영주시,4010,71
경상북도 영주시,4020,206
경상북도 영주시,8001,1062
경상북도 영주시,8004,28
경상북도 영주시,8005,86
경상북도 영주시,8006,309
경상북도 영주시,8021,228
경상북도 영주시,8301,102
경상북도 영천시,4010,91
경상북도 영천시,4020,183
경상북도 영천시,8001,941
경상북도 영천시,8004,14
경상북도 영천시,8005,75
경상북도 영천시,8006,295
경상북도 영천시,8021,176
경상북도 영천시,8301,65
경상북도 예천군,4010,34
경상북도 예천군,4020,101
경상북도 예천군,8001,484
경상북도 예천군,8004,10
