행정구역명,행정구역코드,STRD_YYMM,GENDER_CD,AGE_CD,인구
강원특별자치도 속초시,5121000000,202604,2,3,3818
강원특별자치도 속초시,5121000000,202604,2,4,5190
강원특별자치도 속초시,5121000000,202604,2,5,7247
강원특별자치도 속초시,5121000000,202604,2,6,15504
강원특별자치도 속초시,5121000000,202605,1,1,5395
강원특별자치도 속초시,5121000000,202605,1,2,3626
강원특별자치도 속초시,5121000000,202605,1,3,4765
강원특별자치도 속초시,5121000000,202605,1,4,5329
강원특별자치도 속초시,5121000000,202605,1,5,6984
강원특별자치도 속초시,5121000000,202605,1,6,12852
강원특별자치도 속초시,5121000000,202605,2,1,5156
강원특별자치도 속초시,5121000000,202605,2,2,2912
강원특별자치도 속초시,5121000000,202605,2,3,3821
강원특별자치도 속초시,5121000000,202605,2,4,5194
강원특별자치도 속초시,5121000000,202605,2,5,7231
강원특별자치도 속초시,5121000000,202605,2,6,15540
강원특별자치도 속초시,5121000000,202606,1,1,5384
강원특별자치도 속초시,5121000000,202606,1,2,3627
강원특별자치도 속초시,5121000000,202606,1,3,4770
강원특별자치도 속초시,5121000000,202606,1,4,5325
강원특별자치도 속초시,5121000000,202606,1,5,6968
강원특별자치도 속초시,5121000000,202606,1,6,12902
강원특별자치도 속초시,5121000000,202606,2,1,5156
강원특별자치도 속초시,5121000000,202606,2,2,2920
강원특별자치도 속초시,5121000000,202606,2,3,3827
강원특별자치도 속초시,5121000000,202606,2,4,5202
강원특별자치도 속초시,5121000000,202606,2,5,7233
강원특별자치도 속초시,5121000000,202606,2,6,15579
강원특별자치도 양구군,5180000000,202601,1,1,1540
강원특별자치도 양구군,5180000000,202601,1,2,1357
강원특별자치도 양구군,5180000000,202601,1,3,1255
강원특별자치도 양구군,5180000000,202601,1,4,1184
강원특별자치도 양구군,5180000000,202601,1,5,1626
강원특별자치도 양구군,5180000000,202601,1,6,3735
강원특별자치도 양구군,5180000000,202601,2,1,1483
강원특별자치도 양구군,5180000000,202601,2,2,763
강원특별자치도 양구군,5180000000,202601,2,3,929
강원특별자치도 양구군,5180000000,202601,2,4,1067
강원특별자치도 양구군,5180000000,202601,2,5,1397
강원특별자치도 양구군,5180000000,202601,2,6,4037
강원특별자치도 양구군,5180000000,202602,1,1,1539
강원특별자치도 양구군,5180000000,202602,1,2,1352
강원특별자치도 양구군,5180000000,202602,1,3,1250
강원특별자치도 양구군,5180000000,202602,1,4,1170
강원특별자치도 양구군,5180000000,202602,1,5,1629
강원특별자치도 양구군,5180000000,202602,1,6,3740
강원특별자치도 양구군,5180000000,202602,2,1,1524
강원특별자치도 양구군,5180000000,202602,2,2,756
강원특별자치도 양구군,5180000000,202602,2,3,916
강원특별자치도 양구군,5180000000,202602,2,4,1062
강원특별자치도 양구군,5180000000,202602,2,5,1391
강원특별자치도 양구군,5180000000,202602,2,6,4053
강원특별자치도 양구군,5180000000,202603,1,1,1542
강원특별자치도 양구군,5180000000,202603,1,2,1332
강원특별자치도 양구군,5180000000,202603,1,3,1257
강원특별자치도 양구군,5180000000,202603,1,4,1174
강원특별자치도 양구군,5180000000,202603,1,5,1630
강원특별자치도 양구군,5180000000,202603,1,6,3755
강원특별자치도 양구군,5180000000,202603,2,1,1512
강원특별자치도 양구군,5180000000,202603,2,2,750
강원특별자치도 양구군,5180000000,202603,2,3,917
강원특별자치도 양구군,5180000000,202603,2,4,1064
강원특별자치도 양구군,5180000000,202603,2,5,1383
강원특별자치도 양구군,5180000000,202603,2,6,4052
강원특별자치도 양구군,5180000000,202604,1,1,1531
강원특별자치도 양구군,5180000000,202604,1,2,1334
강원특별자치도 양구군,5180000000,202604,1,3,1253
강원특별자치도 양구군,5180000000,202604,1,4,1170
강원특별자치도 양구군,5180000000,202604,1,5,1629
강원특별자치도 양구군,5180000000,202604,1,6,3770
강원특별자치도 양구군,5180000000,202604,2,1,1503
강원특별자치도 양구군,5180000000,202604,2,2,753
강원특별자치도 양구군,5180000000,202604,2,3,909
강원특별자치도 양구군,5180000000,202604,2,4,1064
강원특별자치도 양구군,5180000000,202604,2,5,1382
강원특별자치도 양구군,5180000000,202604,2,6,4051
강원특별자치도 양구군,5180000000,202605,1,1,1530
강원특별자치도 양구군,5180000000,202605,1,2,1324
강원특별자치도 양구군,5180000000,202605,1,3,1271
강원특별자치도 양구군,5180000000,202605,1,4,1172
강원특별자치도 양구군,5180000000,202605,1,5,1630
강원특별자치도 양구군,5180000000,202605,1,6,3776
강원특별자치도 양구군,5180000000,202605,2,1,1497
강원특별자치도 양구군,5180000000,202605,2,2,741
강원특별자치도 양구군,5180000000,202605,2,3,916
강원특별자치도 양구군,5180000000,202605,2,4,1069
강원특별자치도 양구군,5180000000,202605,2,5,1383
강원특별자치도 양구군,5180000000,202605,2,6,4049
강원특별자치도 양구군,5180000000,202606,1,1,1523
강원특별자치도 양구군,5180000000,202606,1,2,1343
강원특별자치도 양구군,5180000000,202606,1,3,1274
강원특별자치도 양구군,5180000000,202606,1,4,1169
강원특별자치도 양구군,5180000000,202606,1,5,1633
강원특별자치도 양구군,5180000000,202606,1,6,3776
강원특별자치도 양구군,5180000000,202606,2,1,1492
강원특별자치도 양구군,5180000000,202606,2,2,744
강원특별자치도 양구군,5180000000,202606,2,3,916
강원특별자치도 양구군,5180000000,202606,2,4,1074
강원특별자치도 양구군,5180000000,202606,2,5,1379
강원특별자치도 양구군,5180000000,202606,2,6,4049
강원특별자치도 양양군,5183000000,202601,1,1,1446
강원특별자치도 양양군,5183000000,202601,1,2,1108
강원특별자치도 양양군,5183000000,202601,1,3,1134
강원특별자치도 양양군,5183000000,202601,1,4,1703
강원특별자치도 양양군,5183000000,202601,1,5,2516
강원특별자치도 양양군,5183000000,202601,1,6,6078
강원특별자치도 양양군,5183000000,202601,2,1,1308
강원특별자치도 양양군,5183000000,202601,2,2,739
강원특별자치도 양양군,5183000000,202601,2,3,902
강원특별자치도 양양군,5183000000,202601,2,4,1419
강원특별자치도 양양군,5183000000,202601,2,5,2130
강원특별자치도 양양군,5183000000,202601,2,6,6866
강원특별자치도 양양군,5183000000,202602,1,1,1468
강원특별자치도 양양군,5183000000,202602,1,2,1091
강원특별자치도 양양군,5183000000,202602,1,3,1125
강원특별자치도 양양군,5183000000,202602,1,4,1698
강원특별자치도 양양군,5183000000,202602,1,5,2514
강원특별자치도 양양군,5183000000,202602,1,6,6094
강원특별자치도 양양군,5183000000,202602,2,1,1305
강원특별자치도 양양군,5183000000,202602,2,2,737
강원특별자치도 양양군,5183000000,202602,2,3,914
강원특별자치도 양양군,5183000000,202602,2,4,1434
강원특별자치도 양양군,5183000000,202602,2,5,2122
강원특별자치도 양양군,5183000000,202602,2,6,6888
강원특별자치도 양양군,5183000000,202603,1,1,1468
강원특별자치도 양양군,5183000000,202603,1,2,1073
강원특별자치도 양양군,5183000000,202603,1,3,1117
강원특별자치도 양양군,5183000000,202603,1,4,1709
강원특별자치도 양양군,5183000000,202603,1,5,2501
강원특별자치도 양양군,5183000000,202603,1,6,6105
강원특별자치도 양양군,5183000000,202603,2,1,1301
강원특별자치도 양양군,5183000000,202603,2,2,730
강원특별자치도 양양군,5183000000,202603,2,3,909
강원특별자치도 양양군,5183000000,202603,2,4,1436
강원특별자치도 양양군,5183000000,202603,2,5,2102
강원특별자치도 양양군,5183000000,202603,2,6,6913
강원특별자치도 양양군,5183000000,202604,1,1,1470
강원특별자치도 양양군,5183000000,202604,1,2,1074
강원특별자치도 양양군,5183000000,202604,1,3,1115
강원특별자치도 양양군,5183000000,202604,1,4,1703
강원특별자치도 양양군,5183000000,202604,1,5,2513
강원특별자치도 양양군,5183000000,202604,1,6,6131
강원특별자치도 양양군,5183000000,202604,2,1,1304
강원특별자치도 양양군,5183000000,202604,2,2,721
강원특별자치도 양양군,5183000000,202604,2,3,916
강원특별자치도 양양군,5183000000,202604,2,4,1433
강원특별자치도 양양군,5183000000,202604,2,5,2103
강원특별자치도 양양군,5183000000,202604,2,6,6923
강원특별자치도 양양군,5183000000,202605,1,1,1466
강원특별자치도 양양군,5183000000,202605,1,2,1076
강원특별자치도 양양군,5183000000,202605,1,3,1112
강원특별자치도 양양군,5183000000,202605,1,4,1683
강원특별자치도 양양군,5183000000,202605,1,5,2526
강원특별자치도 양양군,5183000000,202605,1,6,6135
강원특별자치도 양양군,5183000000,202605,2,1,1298
강원특별자치도 양양군,5183000000,202605,2,2,732
강원특별자치도 양양군,5183000000,202605,2,3,923
강원특별자치도 양양군,5183000000,202605,2,4,1421
강원특별자치도 양양군,5183000000,202605,2,5,2106
강원특별자치도 양양군,5183000000,202605,2,6,6939
강원특별자치도 양양군,5183000000,202606,1,1,1463
강원특별자치도 양양군,5183000000,202606,1,2,1068
강원특별자치도 양양군,5183000000,202606,1,3,1113
강원특별자치도 양양군,5183000000,202606,1,4,1668
강원특별자치도 양양군,5183000000,202606,1,5,2512
강원특별자치도 양양군,5183000000,202606,1,6,6140
강원특별자치도 양양군,5183000000,202606,2,1,1286
강원특별자치도 양양군,5183000000,202606,2,2,721
강원특별자치도 양양군,5183000000,202606,2,3,927
강원특별자치도 양양군,5183000000,202606,2,4,1413
강원특별자치도 양양군,5183000000,202606,2,5,2068
강원특별자치도 양양군,5183000000,202606,2,6,6947
강원특별자치도 영월군,5175000000,202601,1,1,1953
강원특별자치도 영월군,5175000000,202601,1,2,1392
강원특별자치도 영월군,5175000000,202601,1,3,1241
강원특별자치도 영월군,5175000000,202601,1,4,1892
